Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0002sw,,ZVX/M9:1:S - ZVX/Q9:1:B,ZVX,6/19/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002sw,0002st,ZVX/Q9,ZVX,8/21/2019,1,B,ZVX Monthly Aug 2019,FALSE,nickel,1000,TRUE
0002sw,0002ho,ZVX/M9,ZVX,6/19/2019,1,S,ZVX Monthly Jun 2019,FALSE,nickel,1000,TRUE
0002sz,,ZVX/N9:1:S - ZVX/Q9:1:B,ZVX,7/17/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002sz,0002st,ZVX/Q9,ZVX,8/21/2019,1,B,ZVX Monthly Aug 2019,FALSE,nickel,1000,TRUE
0002sz,0002mr,ZVX/N9,ZVX,7/17/2019,1,S,ZVX Monthly Jul 2019,FALSE,nickel,1000,TRUE
0002t2,,ZVX/K9:1:S - ZVX/Q9:1:B,ZVX,5/22/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002t2,0002st,ZVX/Q9,ZVX,8/21/2019,1,B,ZVX Monthly Aug 2019,FALSE,nickel,1000,TRUE
0002t2,0002ct,ZVX/K9,ZVX,5/22/2019,1,S,ZVX Monthly May 2019,FALSE,nickel,1000,TRUE
0002t8,,ZVXT/N9:1:S - ZVXT/Q9:1:B,ZVXT,7/17/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002t8,0002t7,ZVXT/Q9,ZVXT,8/21/2019,1,B,ZVXT Monthly Aug 2019,FALSE,tas_penny,1000,TRUE
0002t8,0002n5,ZVXT/N9,ZVXT,7/17/2019,1,S,ZVXT Monthly Jul 2019,FALSE,tas_penny,1000,TRUE
0002tE,,ZVXT/M9:1:S - ZVXT/Q9:1:B,ZVXT,6/19/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002tE,0002t7,ZVXT/Q9,ZVXT,8/21/2019,1,B,ZVXT Monthly Aug 2019,FALSE,tas_penny,1000,TRUE
0002tE,0002i2,ZVXT/M9,ZVXT,6/19/2019,1,S,ZVXT Monthly Jun 2019,FALSE,tas_penny,1000,TRUE
0002tK,,ZVXT/K9:1:S - ZVXT/Q9:1:B,ZVXT,5/22/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002tK,0002t7,ZVXT/Q9,ZVXT,8/21/2019,1,B,ZVXT Monthly Aug 2019,FALSE,tas_penny,1000,TRUE
0002tK,0002d7,ZVXT/K9,ZVXT,5/22/2019,1,S,ZVXT Monthly May 2019,FALSE,tas_penny,1000,TRUE
0002uB,,VX/M9:1:S - VX/N9:2:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
