"Cboe Volatility Index (VX) Futures, Includes TAS",,,,,,
VX+VXT17/J9 - 2019-04-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change_1,Column7
IBHY/M9 - 2019-06-03,CONTRACT PRICES (US$),132.445,N/A,-0.155,-0.155,
IBHY/M9 - 2019-06-03,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBHY/M9 - 2019-06-03,CONTRACT VOLUME,0,0,0,60,60
IBHY/N9 - 2019-07-01,CONTRACT PRICES (US$),Open,High,Low,Close,
IBHY/N9 - 2019-07-01,CONTRACT PRICES (US$),0.00,b133.19,133.19a,0.00,
IBHY/N9 - 2019-07-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBHY/N9 - 2019-07-01,CONTRACT PRICES (US$),133.09,N/A,-0.24,-0.24,
IBHY/N9 - 2019-07-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBHY/N9 - 2019-07-01,CONTRACT VOLUME,0,0,0,1,1
IBHY/Q9 - 2019-08-01,CONTRACT PRICES (US$),Open,High,Low,Close,
IBHY/Q9 - 2019-08-01,CONTRACT PRICES (US$),0.00,b133.75,134.00a,0.00,
IBHY/Q9 - 2019-08-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBHY/Q9 - 2019-08-01,CONTRACT PRICES (US$),133.775,N/A,-0.150,-0.150,
IBHY/Q9 - 2019-08-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBHY/Q9 - 2019-08-01,CONTRACT VOLUME,0,0,0,0,0
IBIG/K9 - 2019-05-01,CONTRACT PRICES (US$),Open,High,Low,Close,
IBIG/K9 - 2019-05-01,CONTRACT PRICES (US$),123.92,b123.98,123.79a,123.91,
IBIG/K9 - 2019-05-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBIG/K9 - 2019-05-01,CONTRACT PRICES (US$),123.925,N/A,0.465,0.465,
IBIG/K9 - 2019-05-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBIG/K9 - 2019-05-01,CONTRACT VOLUME,6,0,0,15,15
IBIG/M9 - 2019-06-03,CONTRACT PRICES (US$),Open,High,Low,Close,
IBIG/M9 - 2019-06-03,CONTRACT PRICES (US$),0.00,b123.38,124.89a,0.00,
IBIG/M9 - 2019-06-03,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBIG/M9 - 2019-06-03,CONTRACT PRICES (US$),124.255,N/A,0.430,0.430,
IBIG/M9 - 2019-06-03,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBIG/M9 - 2019-06-03,CONTRACT VOLUME,0,0,0,0,0
IBIG/N9 - 2019-07-01,CONTRACT PRICES (US$),Open,High,Low,Close,
IBIG/N9 - 2019-07-01,CONTRACT PRICES (US$),0.00,b122.75,125.87a,0.00,
IBIG/N9 - 2019-07-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBIG/N9 - 2019-07-01,CONTRACT PRICES (US$),124.41,N/A,0.425,0.425,
IBIG/N9 - 2019-07-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBIG/N9 - 2019-07-01,CONTRACT VOLUME,0,0,0,0,0
IBIG/Q9 - 2019-08-01,CONTRACT PRICES (US$),Open,High,Low,Close,
IBIG/Q9 - 2019-08-01,CONTRACT PRICES (US$),0.00,b122.15,126.87a,0.00,
IBIG/Q9 - 2019-08-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBIG/Q9 - 2019-08-01,CONTRACT PRICES (US$),124.605,N/A,0.420,0.420,
IBIG/Q9 - 2019-08-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBIG/Q9 - 2019-08-01,CONTRACT VOLUME,0,0,0,0,0
